"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.466178002E1,5.238680140E1,4.950986330E0,4.787209365E-1,2.880000114E0,9.119999695E1,3.790092468E0,2.500000000E0
8.566178309E1,5.238679847E1,4.951028510E0,2.164906606E-2,2.900000095E0,9.569999695E1,3.790092468E0,2.500000000E0
8.666241497E1,5.238679790E1,4.951075280E0,-4.027516667E-2,3.049999952E0,8.659999847E1,3.790092468E0,2.500000000E0
8.766232893E1,5.238679590E1,4.951120590E0,-1.614271651E-2,2.960000038E0,9.609999847E1,3.790092468E0,2.500000000E0
8.866165892E1,5.238679120E1,4.951163710E0,-7.651477121E-1,2.920000076E0,9.869999695E1,3.790092468E0,2.500000000E0
8.966204366E1,5.238678770E1,4.951206960E0,-1.424917525E0,2.930000067E0,9.330000305E1,3.790092468E0,2.500000000E0
9.066032090E1,5.238678565E1,4.951250300E0,-1.740446939E0,2.930000067E0,9.269999695E1,3.790092468E0,2.500000000E0
9.166108309E1,5.238678473E1,4.951293290E0,-1.928899752E0,2.960000038E0,9.009999847E1,3.790092468E0,2.500000000E0
9.266033095E1,5.238678586E1,4.951335720E0,-2.859415403E0,2.940000057E0,8.640000153E1,3.790092468E0,2.500000000E0
9.366155319E1,5.238678657E1,4.951378990E0,-3.134352548E0,2.970000029E0,8.850000000E1,3.790092468E0,2.500000000E0
9.466099824E1,5.238678487E1,4.951421910E0,-3.243216670E0,2.970000029E0,9.519999695E1,3.790092468E0,2.500000000E0
9.566328460E1,5.238678396E1,4.951465510E0,-3.113309738E0,2.950000048E0,9.240000153E1,3.790092468E0,2.500000000E0
9.666784085E1,5.238678598E1,4.951511410E0,-2.733702470E0,3.019999981E0,8.290000153E1,3.790092468E0,2.500000000E0
9.766290184E1,5.238678727E1,4.951555260E0,-2.955476830E0,2.910000086E0,9.109999847E1,3.790092468E0,2.500000000E0
9.866349736E1,5.238678791E1,4.951596270E0,-3.452705432E0,2.859999895E0,8.619999695E1,3.790092468E0,2.500000000E0
9.966300845E1,5.238678727E1,4.951641580E0,-2.944501221E0,3.059999943E0,9.080000305E1,3.790092468E0,2.500000000E0
1.006618404E2,5.238678720E1,4.951686260E0,-3.181230647E0,2.930000067E0,8.740000153E1,3.790092468E0,2.500000000E0
1.016619110E2,5.238678801E1,4.951729610E0,-3.495230104E0,2.910000086E0,8.759999847E1,3.790092468E0,2.500000000E0
1.026619908E2,5.238678945E1,4.951773860E0,-3.619775013E0,2.960000038E0,8.609999847E1,3.790092468E0,2.500000000E0
1.036611594E2,5.238678938E1,4.951817780E0,-3.545774902E0,2.900000095E0,9.169999695E1,3.790092468E0,2.500000000E0
1.046675827E2,5.238678964E1,4.951864270E0,-3.121064816E0,2.950000048E0,8.800000000E1,3.790092468E0,2.500000000E0
1.056638792E2,5.238679021E1,4.951911990E0,-2.883670465E0,3.039999962E0,8.930000305E1,3.790092468E0,2.500000000E0
1.066613257E2,5.238679136E1,4.951958100E0,-2.501073590E0,2.930000067E0,8.750000000E1,3.790092468E0,2.500000000E0
1.076634846E2,5.238679315E1,4.952003310E0,-1.996467051E0,2.950000048E0,8.609999847E1,3.790092468E0,2.500000000E0
1.086614579E2,5.238679420E1,4.952049880E0,-2.110879328E0,2.930000067E0,8.790000153E1,3.790092468E0,2.500000000E0
1.096614830E2,5.238679686E1,4.952098210E0,-1.992744340E0,3.099999905E0,8.200000000E1,3.790092468E0,2.500000000E0
1.106633195E2,5.238680006E1,4.952148630E0,-1.175876896E0,2.930000067E0,8.330000305E1,3.790092468E0,2.500000000E0
1.116652911E2,5.238679716E1,4.952190900E0,-1.969191348E0,2.329999924E0,1.009000015E2,3.790092468E0,2.500000000E0
1.126619612E2,5.238679131E1,4.952223350E0,-1.968387307E0,2.190000057E0,1.018000031E2,3.790092468E0,2.500000000E0
1.136609931E2,5.238679145E1,4.952261630E0,-2.222820361E0,2.819999933E0,8.269999695E1,3.790092468E0,2.500000000E0
1.146609760E2,5.238679067E1,4.952305090E0,-1.657183346E0,2.859999895E0,9.630000305E1,3.790092468E0,2.500000000E0
1.156621952E2,5.238678991E1,4.952348760E0,-1.675164344E0,2.859999895E0,8.919999695E1,3.790092468E0,2.500000000E0
1.166614599E2,5.238679308E1,4.952391890E0,-1.480493575E0,2.859999895E0,8.190000153E1,3.790092468E0,2.556591988E0
1.176610837E2,5.238679492E1,4.952442240E0,-5.414357258E-1,2.980000019E0,9.059999847E1,3.790092468E0,2.765731573E0
1.186624758E2,5.238679601E1,4.952497530E0,5.625430554E-2,3.000000000E0,8.919999695E1,3.790092468E0,2.774501324E0
1.196620281E2,5.238680145E1,4.952550760E0,5.014224765E-1,2.890000105E0,7.809999847E1,3.790092468E0,2.857375145E0
1.206648893E2,5.238680996E1,4.952599500E0,9.020367389E-1,2.910000086E0,7.219999695E1,3.790092468E0,2.978991032E0
1.216618573E2,5.238681916E1,4.952647720E0,3.527005093E-1,2.980000019E0,7.090000153E1,3.790092468E0,3.068562269E0
1.226618534E2,5.238682897E1,4.952688750E0,-1.984090619E-1,2.839999914E0,6.619999695E1,3.790092468E0,3.163030386E0
