Unnamed: 0,id,Time (s),X (m/s^2)_acc,Y (m/s^2)_acc,Z (m/s^2)_acc,X (m/s^2)_lin_acc,Y (m/s^2)_lin_acc,Z (m/s^2)_lin_acc,genre
,5,9.14791324,,,,,,,Dance
,5,9.167829386,,,,,,,Dance
,5,9.187755844,,,,,,,Dance
,5,9.207693552,,,,,,,Dance
,5,9.227642823,,,,,,,Dance
,5,9.247603657,,,,,,,Dance
,5,9.267575427,,,,,,,Dance
,5,9.287557198,,,,,,,Dance
,5,9.307547615,,,,,,,Dance
,5,9.327547823,,,,,,,Dance
,5,9.347553084,,,,,,,Dance
,5,9.367561313,,,,,,,Dance
,5,9.387568917,,,,,,,Dance
,5,9.407551365,,,,,,,Dance
,5,9.427510167,,,,,,,Dance
,5,9.447468917,,,,,,,Dance
,5,9.467427667,,,,,,,Dance
,5,9.487386417,,,,,,,Dance
,5,9.507345167,,,,,,,Dance
,5,9.527303917,,,,,,,Dance
,5,9.547262667,,,,,,,Dance
,5,9.567226,,,,,,,Dance
,5,9.587180167,,,,,,,Dance
,5,9.607134438,,,,,,,Dance
,5,9.627089021,,,,,,,Dance
,5,9.647044021,,,,,,,Dance
,5,9.666999646,,,,,,,Dance
,5,9.686956,,,,,,,Dance
,5,9.706913084,,,,,,,Dance
,5,9.726871,,,,,,,Dance
,5,9.74682975,,,,,,,Dance
,5,9.766789229,,,,,,,Dance
,5,9.786749438,,,,,,,Dance
,5,9.806710271,,,,,,,Dance
,5,9.826678188,,,,,,,Dance
,5,9.846642771,,,,,,,Dance
,5,9.866602771,,,,,,,Dance
,5,9.886561521,,,,,,,Dance
,5,9.906520271,,,,,,,Dance
,5,9.926479021,,,,,,,Dance
,5,9.946437771,,,,,,,Dance
,5,9.966396521,,,,,,,Dance
,5,9.986355271,,,,,,,Dance
,5,10.00631402,,,,,,,Dance
,5,10.02627277,,,,,,,Dance
,5,10.04623152,,,,,,,Dance
,5,10.06619501,,,,,,,Dance
,5,10.08614918,,,,,,,Dance
,5,10.10610345,,,,,,,Dance
,5,10.12605803,,,,,,,Dance
,5,10.14601303,,,,,,,Dance
,5,10.16596866,,,,,,,Dance
,5,10.18592501,,,,,,,Dance
,5,10.20588209,,,,,,,Dance
,5,10.22584001,,,,,,,Dance
,5,10.24579876,,,,,,,Dance
,5,10.26575824,,,,,,,Dance
,5,10.28571845,,,,,,,Dance
,5,10.30567928,,,,,,,Dance
,5,10.32564985,,,,,,,Dance
,5,10.34561288,,,,,,,Dance
,5,10.36557163,,,,,,,Dance
,5,10.38553038,,,,,,,Dance
,5,10.40548912,,,,,,,Dance
,5,10.42544788,,,,,,,Dance
,5,10.44540662,,,,,,,Dance
,5,10.46536538,,,,,,,Dance
,5,10.48532412,,,,,,,Dance
,5,10.50528288,,,,,,,Dance
,5,10.52524163,,,,,,,Dance
,5,10.54520038,,,,,,,Dance
,5,10.56516767,,,,,,,Dance
,5,10.58511798,,,,,,,Dance
,5,10.6050686,,,,,,,Dance
,5,10.62501985,,,,,,,Dance
,5,10.64497194,,,,,,,Dance
,5,10.66492517,,,,,,,Dance
,5,10.68487965,,,,,,,Dance
,5,10.70483548,,,,,,,Dance
,5,10.72479277,,,,,,,Dance
,5,10.74475152,,,,,,,Dance
,5,10.76471173,,,,,,,Dance
,5,10.78467319,,,,,,,Dance
,5,10.80463579,,,,,,,Dance
,5,10.8246147,,,,,,,Dance
,5,10.84458173,,,,,,,Dance
,5,10.86454048,,,,,,,Dance
,5,10.88449923,,,,,,,Dance
,5,10.90445798,,,,,,,Dance
,5,10.92441673,,,,,,,Dance
,5,10.94437548,,,,,,,Dance
,5,10.96433423,,,,,,,Dance
,5,10.98429298,,,,,,,Dance
,5,11.00425173,,,,,,,Dance
