"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.210071695E2,5.238804607E1,4.956656180E0,1.023630223E1,3.230000019E0,2.486999969E2,3.790092468E0,2.500000000E0
1.220133985E2,5.238803869E1,4.956609680E0,1.004357660E1,3.220000029E0,2.496999969E2,3.790092468E0,2.500000000E0
1.230130473E2,5.238803005E1,4.956565200E0,9.602620383E0,3.210000038E0,2.456000061E2,3.790092468E0,2.500000000E0
1.240187898E2,5.238801787E1,4.956523910E0,1.041044027E1,3.200000048E0,2.400000000E2,3.790092468E0,2.500000000E0
1.250132200E2,5.238800489E1,4.956483290E0,1.034002455E1,3.210000038E0,2.420000000E2,3.790092468E0,2.500000000E0
1.260112294E2,5.238799619E1,4.956449880E0,9.021694332E0,2.769999981E0,2.413000031E2,3.790092468E0,2.500000000E0
1.270140460E2,5.238798447E1,4.956414920E0,9.799611345E0,3.109999895E0,2.391000061E2,3.790092468E0,2.500000000E0
1.280135275E2,5.238797357E1,4.956373030E0,8.688243258E0,3.250000000E0,2.448999939E2,3.790092468E0,2.500000000E0
1.290105699E2,5.238796318E1,4.956325980E0,9.115569178E0,3.150000095E0,2.498000031E2,3.790092468E0,2.584045172E0
1.300106545E2,5.238795252E1,4.956278230E0,8.569566669E0,3.170000076E0,2.435000000E2,3.790092468E0,2.634599924E0
1.310148250E2,5.238793967E1,4.956233530E0,8.195254712E0,3.160000086E0,2.421999969E2,3.790092468E0,2.791947603E0
1.320100896E2,5.238792313E1,4.956194550E0,7.148272376E0,3.279999971E0,2.293000031E2,3.790092468E0,2.989202261E0
1.330138727E2,5.238790830E1,4.956153870E0,7.446628399E0,3.250000000E0,2.408000031E2,3.790092468E0,3.192162275E0
1.340169792E2,5.238789558E1,4.956110590E0,6.100759839E0,3.250000000E0,2.376999969E2,3.790092468E0,3.284785748E0
1.350142114E2,5.238788236E1,4.956067740E0,5.420051951E0,3.240000010E0,2.413999939E2,3.790092468E0,3.205827236E0
1.360126460E2,5.238787159E1,4.956022950E0,5.354763903E0,3.210000038E0,2.456000061E2,3.790092468E0,3.229587793E0
1.370146821E2,5.238786006E1,4.955980970E0,7.021959321E0,3.150000095E0,2.395000000E2,3.790092468E0,3.078033924E0
1.380128718E2,5.238784945E1,4.955941110E0,7.086496153E0,3.079999924E0,2.440000000E2,3.790092468E0,3.200082064E0
1.390136590E2,5.238784030E1,4.955901450E0,6.998020047E0,3.140000105E0,2.461000061E2,3.790092468E0,3.156095505E0
1.400148855E2,5.238782917E1,4.955861330E0,6.840998370E0,3.190000057E0,2.405000000E2,3.790092468E0,3.182548046E0
1.410132302E2,5.238781679E1,4.955823560E0,7.183365931E0,3.140000105E0,2.403000031E2,3.790092468E0,3.130476952E0
1.420090062E2,5.238780041E1,4.955789070E0,8.135592986E0,3.170000076E0,2.308999939E2,3.790092468E0,3.167294264E0
1.430118370E2,5.238778389E1,4.955750020E0,8.479723921E0,3.250000000E0,2.361000061E2,3.790092468E0,3.280339241E0
1.440127298E2,5.238776949E1,4.955707720E0,7.194827662E0,3.269999981E0,2.405000000E2,3.790092468E0,3.305275440E0
1.450094397E2,5.238775630E1,4.955663030E0,6.787861421E0,3.200000048E0,2.396999969E2,3.790092468E0,3.313211918E0
1.460139766E2,5.238774249E1,4.955618390E0,7.278904580E0,3.220000029E0,2.373999939E2,3.790092468E0,3.308693409E0
1.470134439E2,5.238772889E1,4.955573450E0,7.560231066E0,3.269999981E0,2.406000061E2,3.790092468E0,3.285989046E0
1.480132265E2,5.238771466E1,4.955531020E0,7.675908705E0,3.220000029E0,2.361000061E2,3.790092468E0,3.309685946E0
1.490137295E2,5.238770239E1,4.955489330E0,7.914575408E0,3.180000067E0,2.443999939E2,3.790092468E0,3.293198109E0
