"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.101064575E2,5.239316512E1,4.961436870E0,6.320548303E0,3.529999971E0,6.140000153E1,3.790092468E0,2.500000000E0
1.111067929E2,5.239317818E1,4.961484960E0,7.676185843E0,3.599999905E0,6.750000000E1,3.790092468E0,2.500000000E0
1.121052702E2,5.239319178E1,4.961532940E0,7.843652702E0,3.640000105E0,6.090000153E1,3.790092468E0,2.500000000E0
1.131106194E2,5.239320518E1,4.961580170E0,7.855723331E0,3.670000076E0,6.559999847E1,3.790092468E0,2.500000000E0
1.141104703E2,5.239321765E1,4.961627530E0,8.425287827E0,3.539999962E0,6.450000000E1,3.790092468E0,2.500000000E0
1.151079581E2,5.239323034E1,4.961675230E0,8.081950003E0,3.650000095E0,6.419999695E1,3.790092468E0,2.500000000E0
1.161036678E2,5.239324166E1,4.961724370E0,8.060571516E0,3.660000086E0,6.869999695E1,3.790092468E0,2.500000000E0
1.171085030E2,5.239325518E1,4.961770740E0,8.437632049E0,3.579999924E0,6.040000153E1,3.790092468E0,2.500000000E0
1.181066957E2,5.239327153E1,4.961813340E0,8.450314533E0,3.529999971E0,5.309999847E1,3.790092468E0,2.500000000E0
1.191096576E2,5.239328595E1,4.961855850E0,7.454815501E0,3.480000019E0,5.620000076E1,3.790092468E0,2.500000000E0
1.201079710E2,5.239329533E1,4.961904820E0,6.998192450E0,3.609999895E0,6.809999847E1,3.790092468E0,2.500000000E0
1.211085828E2,5.239330572E1,4.961956300E0,6.396552774E0,3.740000010E0,6.179999924E1,3.790092468E0,2.500000000E0
1.221043854E2,5.239332001E1,4.962002590E0,6.260613871E0,3.599999905E0,5.990000153E1,3.790092468E0,2.500000000E0
1.231065888E2,5.239334290E1,4.962035950E0,6.977218743E0,3.509999990E0,3.220000076E1,3.790092468E0,2.500000000E0
1.241071331E2,5.239336984E1,4.962055800E0,7.074253627E0,3.230000019E0,2.510000038E1,3.790092468E0,2.500000000E0
1.251066710E2,5.239339470E1,4.962054020E0,5.838570270E0,3.019999981E0,6.900000095E0,3.790092468E0,2.500000000E0
1.261072551E2,5.239342013E1,4.962049650E0,5.263225569E0,2.960000038E0,1.180000019E1,3.790092468E0,2.500000000E0
1.271080660E2,5.239344515E1,4.962051000E0,4.345171222E0,2.940000057E0,1.310000038E1,3.790092468E0,2.500000000E0
1.281066557E2,5.239346950E1,4.962060130E0,3.752071637E0,2.970000029E0,1.970000076E1,3.790092468E0,2.500000000E0
1.291111839E2,5.239349404E1,4.962074610E0,3.285501329E0,3.019999981E0,2.200000000E1,3.790092468E0,2.500000000E0
1.301077116E2,5.239351995E1,4.962084230E0,3.732138142E0,3.029999971E0,1.000000000E1,3.790092468E0,2.500000000E0
1.311073130E2,5.239354702E1,4.962077230E0,4.580256157E0,2.839999914E0,3.431000061E2,3.790092468E0,2.500000000E0
1.321081615E2,5.239357543E1,4.962067680E0,5.354888265E0,2.950000048E0,3.547000122E2,3.790092468E0,2.500000000E0
1.331089458E2,5.239360230E1,4.962060010E0,6.057070545E0,2.670000076E0,3.497999878E2,3.790092468E0,2.625224352E0
1.341046203E2,5.239361874E1,4.962042600E0,6.137100910E0,2.000000000E0,3.167999878E2,3.790092468E0,2.969970465E0
1.351053737E2,5.239364128E1,4.962025440E0,6.763343734E0,2.630000114E0,3.466000061E2,3.982147932E0,3.519284248E0
1.361032767E2,5.239366691E1,4.962014640E0,6.286323197E0,2.569999933E0,3.535000000E2,4.340383053E0,3.879262686E0
1.371066706E2,5.239369387E1,4.961997960E0,5.270055516E0,2.660000086E0,3.377000122E2,4.222385406E0,3.968932867E0
1.381068076E2,5.239371963E1,4.961980040E0,6.373231199E0,2.450000048E0,3.453999939E2,4.134136200E0,3.886897802E0
1.391038247E2,5.239374784E1,4.961966260E0,7.515902542E0,2.609999895E0,3.533999939E2,4.381687641E0,4.238363743E0
1.401077300E2,5.239377702E1,4.961954100E0,8.946906292E0,2.599999905E0,3.552999878E2,4.287166595E0,4.233253002E0
1.411061318E2,5.239381096E1,4.961937080E0,9.060897390E0,2.920000076E0,3.507999878E2,4.173254013E0,4.113276005E0
1.421048595E2,5.239384459E1,4.961919040E0,7.628989012E0,2.920000076E0,3.457999878E2,4.070838928E0,3.999621153E0
1.431074019E2,5.239388166E1,4.961895860E0,7.862670915E0,3.180000067E0,3.408999939E2,3.972170115E0,3.888958931E0
1.441061107E2,5.239391856E1,4.961878130E0,7.431255663E0,3.279999971E0,3.510000000E2,4.070224762E0,3.994399548E0
1.451031963E2,5.239395326E1,4.961865770E0,6.807640703E0,3.240000010E0,3.506000061E2,4.172315598E0,4.160875797E0
1.461072326E2,5.239398455E1,4.961858370E0,6.576662939E0,3.160000086E0,3.568999939E2,4.266944885E0,4.296378136E0
1.471064340E2,5.239402038E1,4.961837290E0,7.249675355E0,3.430000067E0,3.437000122E2,4.129040241E0,4.208559036E0
1.481081937E2,5.239405503E1,4.961816940E0,6.884844717E0,3.380000114E0,3.477999878E2,4.354004860E0,4.563579559E0
1.491073910E2,5.239408719E1,4.961792230E0,6.843128096E0,3.410000086E0,3.401000061E2,4.261894703E0,4.472388268E0
1.501037453E2,5.239412126E1,4.961763940E0,7.504109861E0,3.559999943E0,3.377000122E2,4.219472885E0,4.478348732E0
1.511088903E2,5.239415258E1,4.961738610E0,6.384022539E0,3.440000057E0,3.406000061E2,3.794208050E0,3.979218006E0
1.521085704E2,5.239418160E1,4.961713770E0,6.256241794E0,3.430000067E0,3.336000061E2,3.814784527E0,4.063378811E0
1.531093978E2,5.239421045E1,4.961687840E0,6.241253137E0,3.420000076E0,3.327000122E2,3.864747524E0,4.209884167E0
1.541030304E2,5.239423860E1,4.961667310E0,6.542550817E0,3.400000095E0,3.380000000E2,3.838821411E0,4.110424519E0
1.551076642E2,5.239426735E1,4.961646820E0,6.563759044E0,3.430000067E0,3.352000122E2,3.827333927E0,4.044243336E0
1.561054086E2,5.239429668E1,4.961616940E0,7.430299524E0,3.359999895E0,3.322000122E2,3.790092468E0,3.774440050E0
1.571077564E2,5.239432689E1,4.961592130E0,7.136749007E0,3.519999981E0,3.421000061E2,3.790092468E0,3.914299488E0
